gnuLAB4                                         
 111
  66
   9
  38
1.000000	0.000000
0.988400	0.002330
0.968630	0.006260
0.945460	0.010840
0.918740	0.016050
0.889470	0.021690
0.859360	0.027410
0.829470	0.032990
0.799800	0.038430
0.770060	0.043780
0.740110	0.049040
0.709900	0.054200
0.679540	0.059260
0.649100	0.064180
0.618650	0.068980
0.588240	0.073650
0.557900	0.078210
0.527650	0.082630
0.497520	0.086910
0.467530	0.091030
0.437720	0.094970
0.408180	0.098710
0.378960	0.102220
0.350200	0.105500
0.322100	0.108480
0.294890	0.111090
0.268850	0.113260
0.244170	0.114950
0.220960	0.116060
0.199240	0.116530
0.179020	0.116290
0.160290	0.115340
0.143000	0.113650
0.127120	0.111260
0.112560	0.108180
0.099250	0.104430
0.087090	0.100050
0.076040	0.095140
0.066060	0.089860
0.057080	0.084340
0.049060	0.078720
0.041900	0.073050
0.035540	0.067410
0.029910	0.061840
0.024930	0.056390
0.020550	0.051050
0.016710	0.045850
0.013350	0.040750
0.010440	0.035770
0.007960	0.030920
0.005880	0.026220
0.004190	0.021700
0.002840	0.017300
0.001770	0.013100
0.000940	0.008810
0.000330	0.005180
0.000000	0.000000
0.000020	-0.000410
0.000480	-0.006210
0.001430	-0.008790
0.002880	-0.011980
0.004840	-0.014880
0.007320	-0.017590
0.010310	-0.020060
0.013810	-0.022400
0.016000	-0.023669
0.017780	-0.024700
0.022170	-0.026970
0.027020	-0.029200
0.032410	-0.031380
0.038410	-0.033530
0.045140	-0.035660
0.052000	-0.037610
0.063000	-0.040388
0.071040	-0.042220
0.082190	-0.044520
0.094980	-0.046900
0.109740	-0.049360
0.126740	-0.051870
0.146170	-0.054370
0.167990	-0.056720
0.191910	-0.058840
0.217390	-0.060660
0.244070	-0.062160
0.271630	-0.063310
0.299770	-0.064110
0.328210	-0.064530
0.356730	-0.064560
0.385260	-0.064170
0.413840	-0.063400
0.442560	-0.062270
0.471550	-0.060830
0.500840	-0.059100
0.530350	-0.057090
0.559990	-0.054830
0.589670	-0.052320
0.619380	-0.049570
0.649170	-0.046590
0.679060	-0.043390
0.709030	-0.039970
0.739020	-0.036370
0.768920	-0.032600
0.798690	-0.028710
0.828470	-0.024700
0.858480	-0.020570
0.888740	-0.016310
0.918160	-0.012090
0.945060	-0.008180
0.968410	-0.004730
0.988320	-0.001760
1.000000	 0.000000
 
